Country,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
0,16.3,1.4,9.3,1.0,10.2,19.8,33018.6
0,15.7,1.0,9.1,1.0,9.0,15.5,32944.72
0,15.6,1.0,9.0,1.0,9.0,16.6,32990.78
0,15.3,0.6,8.7,1.0,8.7,13.7,32994.82
0,15.4,-0.2,8.4,1.0,9.0,14.4,33051.64
0,17.4,3.5,10.5,1.0,10.9,21.6,32851.34
0,17.1,5.5,11.2,1.0,14.0,27.4,32636.48
0,14.3,5.3,9.9,1.0,8.2,19.4,21878.06
0,16.5,7.5,11.3,1.0,17.7,37.4,32776.77
0,11.0,3.3,7.4,1.3,9.3,20.2,8926.44
0,7.5,3.8,5.8,9.4,9.7,35.3,12930.27
0,9.8,0.9,5.9,1.8,19.3,38.2,27330.89
0,3.8,-3.8,-0.4,1.0,35.3,68.8,33739.68
0,7.3,-2.8,1.0,1.0,26.0,54.0,33851.29
0,6.9,-4.8,1.0,1.0,21.7,43.2,33968.21
0,7.6,-6.3,1.1,1.0,8.5,21.2,33999.23
0,10.7,-3.3,4.1,1.0,8.0,14.4,32849.27
0,13.4,1.3,7.8,1.0,11.5,24.8,33693.08
0,16.1,4.1,10.0,1.0,18.4,37.8,33512.6
0,16.2,0.7,9.1,1.0,11.0,23.4,33155.54
0,15.0,5.0,10.0,1.0,12.9,26.3,33823.84
0,14.0,1.9,8.4,1.0,11.1,20.2,34417.69
0,14.1,3.1,8.7,1.0,16.4,31.7,34479.85
0,14.4,4.1,9.4,0.8,18.1,35.3,34542.57
0,12.7,0.9,7.6,1.6,16.6,32.4,34689.54
0,10.5,-2.0,5.3,1.0,9.2,20.2,34498.23
0,12.1,-0.3,6.1,1.0,8.9,21.2,34994.11
0,16.0,-0.3,8.3,1.0,11.0,21.6,35151.75
0,19.7,3.4,11.9,1.0,11.9,24.8,35222.29
0,21.2,6.0,13.6,1.0,18.2,35.6,35385.17
0,17.2,5.2,10.9,1.0,24.7,49.0,35457.12
0,17.3,1.0,8.8,1.0,28.1,54.7,35674.39
0,12.5,2.2,6.8,1.0,16.4,32.4,24754.92
0,12.1,-0.1,6.1,1.0,12.4,28.8,33799.72
0,9.3,2.3,5.3,6.0,16.7,34.2,31306.68
0,12.9,1.0,6.1,1.0,15.5,32.8,36059.08
0,11.5,-3.4,5.1,1.0,9.1,21.6,36156.89
0,11.5,-0.3,6.3,1.0,14.8,30.2,36255.12
0,10.1,0.7,6.2,1.4,19.3,37.8,28148.06
0,11.2,4.4,7.3,4.0,16.4,38.9,24058.1
0,10.2,-1.2,4.3,1.0,19.4,39.2,36555.15
0,10.0,-3.3,2.9,1.0,21.7,43.6,36658.0
0,9.0,-6.9,2.0,1.0,9.1,23.4,36762.12
0,10.7,-5.9,3.0,1.0,9.4,18.4,36867.4
0,13.2,-4.9,5.2,1.0,9.7,19.1,36973.72
0,14.7,3.1,8.9,1.0,19.7,39.6,37080.97
0,14.6,2.0,7.7,1.0,25.8,51.1,37189.03
0,15.7,-0.3,7.5,1.0,17.8,37.4,37297.8
0,14.1,0.1,7.8,1.0,15.9,28.4,37407.17
0,13.8,-0.4,7.2,0.5,20.2,38.5,37517.03
0,13.7,-0.6,7.1,1.0,16.1,35.3,37627.27
0,12.5,-0.9,6.3,1.0,14.3,29.5,37737.81
0,13.9,1.1,7.5,1.0,23.4,46.4,37848.53
0,14.5,1.2,8.8,1.0,13.0,28.8,37959.35
0,16.7,-0.8,8.5,1.0,14.1,30.6,38070.16
0,18.0,4.1,10.8,1.0,17.3,36.4,38180.88
0,18.2,1.4,11.0,1.0,17.1,32.4,38291.4
0,20.9,5.3,14.0,1.0,19.5,34.9,38401.64
0,22.6,6.5,15.2,1.0,23.6,45.4,38511.54
